"nid","title","field_tipo_da_impress_o","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_material_7","field_pre_o_7","field_observa_o","field_fonte"
"13261","Agenda 2020","Off-Set","2020","1","Juliana Maria Costa ","Administrativa","Juliana Maria Costa","500","146","A5","01/27/2020","38325 impressões coloridas na maquina de xerox (R$0,059) cada impressão","R$ 2261.17","2395 folhas de papel 120 grs 66x96 (R$0,53) cada folha ","R$1269.35","75 folhas de papel couché 175grs 66x96","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Juliana Maria Costa<br />
cada impressão colorida custa R$0,059 , o valor de 30% de materias não sera cobrado , o valor total a ser cobrado e de R$3530,52</p>
","Diretoria "
"13247","Agenda 2020","Off-Set","2019","19","Juliana Maria Costa","Administrativa","Juliana Maria Costa","200","146","A5","12/03/2019","15330 impressões coloridas na maquina de Xerox ( R$0,059) cada impressão","R$ 904.47","958 folhas de papel 120 grs 66x96 (R$0,53 ) cada folha ","R$507.74","30 folhas de papel couché 175 grs 66x96, impressão da capa","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável:Juliana Maria Costa<br />
obs: cada impressão colorida custa R$0,059<br />
o valor de R$423,66 referente a matérias utilizados não sera cobrado , o valor final e de<br />
R$1.412,21</p>
","Diretoria "
"13235","Seminário Internacional ¨A Economia Política do Turismo¨","Off-Set","2019","18","Departamento de Geografia","Acadêmica ","Prof.Dra. Rita de Cássia Ariza da Cruz","100","324","14,8 X 21,0","10/18/2019","1520 Folhas de Papel Sulfute 75grs 66x96","R$ 212.80","50 Chapas positivas de Alumínio Heidelberg","R$567.50","38 folhas de Cartõa Supremo 275 grs 66x96","R$27.36","120 impressão das capas (xerox)","R$42.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Prof. Dra Rita de Cássia Ariza da Cruz</p>
","Departamento de Geografia"
"13210","LÉXICO , SEMÂTICA , LEXICAL , NEOLOGIA , EMPRÉSTIMO","Off-Set","2019","17","Humanitas ","Administrativa","Helena Rodrigues ","300","350","14x21","09/10/2019","4100 Folhas de Papel Sulfute 75grs 66x96","R$ 574.00","54 Chapas positivas de Alumínio","R$612.90","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Helena Rodrigues<br />
Capa vem pronta</p>
","Integral para a Administração ( Acordo Diretoria ) "
"13209","AUGUSTAN POETRY","Off-Set","2019","16","Humanitas ","Administrativa","Helena Rodrigues ","500","452","14x21","09/10/2019","8830 Folhas de Papel Sulfute 75grs 66x96","R$ 1236.20","136 Chapas positivas de Alumínio Catu","R$533.12","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável :Helena Rodrigues<br />
Capa vem pronta</p>
","Integral para a Administração ( Acordo Diretoria )"
"13208","NIETZSCHE E A PSICOFISIOLOGIA FRANCESA","Off-Set","2019","15","Humanitas ","Administrativa ","Helena Rodrigues ","200","230","14x21","09/10/2019","2150 Folhas de Papel Sulfute 75grs 66x96","R$ 301.00","36 Chapas positivas de Alumínio Heidelberg","R$408.60","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Helena Rodrigues<br />
capa vem pronta</p>
","Integral para a Administração (Acordo Diretoria)"
"13188","Discurso sem Método 2019 nº 01","Off-Set","2019","14","Centro Acadêmico da Filosofia - CAF","Acadêmica","Danilo Augusto","200","52","A4","06/27/2019","975 Folhas de Papel Jornal 52g/m² - 66 x 96cm - R$ 0,10","R$ 97.50","33 Chapas positivas de alumínio para a impressora Off-Set Catu 510 - R$ 3,92","R$129.36","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: 02 grampos.</p>
","Diretoria - FFLCH"
"13158","Jornal Discurso sem Método - 2018 (Reimpressão)","Off-Set","2019","13","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","200","70","A4","03/25/2019","1313 Folhas de Papel Jornal 52g/m² (66 x 96cm) - R$ 0,10","R$ 131.30","22 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$249.70","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: Grampeado (02 grampos)</p>
","Diretoria da FFLCH"
"13157","Cadernos de Professor Emérito: (RAQUEL GLAZER)","Off-Set","2019","12","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","48","12 x 18cm","03/25/2019","450 Folhas de Papel Gráfico 75grs. (66x96cm) - R$ 0,14","R$ 63.00","15 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico Supremo 275gr/m² - (66x96cm) / Capa - R$ 0,91","R$68.25","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13156","Cadernos de Professor Emérito: REGINALDO PRANDI","Off-Set","2019","11","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","52","12 x 18cm","03/25/2019","488 Folhas de Papel Gráfico 75grs. (66x96cm) - R$ 0,14","R$ 68.32","15 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico Supremo 275gr/m² - (66x96cm) / Capa - R$ 0,91","R$68.25","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
