"nid","title","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_pre_o_7","field_material_7","field_observa_o","field_fonte"
"13267","Timbrar Envelopes 31x41 cm ","2020","6","Almoxarifado","Administrativa","Jose Aparecido Irineu","15000","1","31x41","03/17/2020","15000 envelopes 31x41cm","R$ 3000.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>sera cobrado só valor de R$900,00 referente a parte da gráfica , os envelopes foram fornecidos pelo Almoxarifado</p>
","Amoxarifado"
"13265","Fornecimento de papel - (Impressão de blocos para recepção de calouros","2020","5","Departamento do Centro de Línguas ","Acadêmica","Eliane Vaz do Nascimento","1000","1","A4","03/06/2020","125 Folhas de Papel super bond Azul  75grs 66x96","R$ 22.50","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Eliane Vaz do Nascimento</p>
","Departamento de Línguas"
"13263","Fornecimento de papel Color Plus 120gr A4","2020","4","Departamento de Linguística.","Acadêmica.","Prof.Dr. Ronald Beline Mendes","1500","1","A4","01/29/2020","170 Folhas de Papel Color Plus 120grs 66x96","R$ 149.60","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Prof. Dr. Ronald Beline Mendes.</p>
","Departamento de Linguística."
"13260","Fornecimento de papel A3","2020","3","Departamento de Letras Modernas ","Acadêmica ","Dina","1500","1","A3","01/27/2020","380 Folhas de Papel Sulfute 120grs 66x96","R$ 201.40","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável : Dina</p>
","Departamento de Letras Modernas"
"13259","apresentação","2020","2","teste","teste","Nonono","2000","","","01/24/2020","Folhas de Papel Sulfute 75grs 66x96","R$ 1000.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","",""
"13258","teste","2020","1","teste","teste","Nonono","2000","","","01/24/2020","Folhas de Papel Sulfute 75grs 66x96","R$ 1000.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","",""
"13250","Agenda 2020","2019","39","Juliana Maria Costa ","Administrativa","Juliana Maria Costa","200","146","A5","12/12/2019","Folha15330 impressões coloridas na maquina de Xerox(R$0,059) cada impressão","R$ 904.47","958 folhas de papel 120 grs 66x96 (R$0,53) cada folha","R$507.74","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável : Juliana Maria Costa<br />
obs: cada impressão colorida custa R$0,059 .<br />
o Valor de R$423,66 referente  aos matérias utilizadas  não sera cobrado , o valor final e de R$1.412,21</p>
","Diretoria"
"13249","Fornecimento de papel (cartas de aceite e históricos escolares, FFLCH","2019","38","Vivian Pamella Viviani de Castro","Acadêmica ","Vivian Pamella Viviani de Castro","1000","1","A4","12/10/2019","125 Folhas de Papel Sulfute 120 grs 66x96","R$ 66.25","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>responsável :Vivian Pamella Viviani de Castro</p>
","CCIN  FFLCH-Vivian Pamella Viviani de Castro"
"13246","Fornecimento de papel A3 180grs - Departamento de Geografia","2019","37","Departamento de Geografia","Acadêmica","Profa. Dra Sueli Angelo Furlan","400","1","A3","11/12/2019","100 folhas de cartolina 180grs 66x96","R$ 41.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Profa. Dra Sueli Angelo Furlan</p>
","Departamento de Geografia"
"13244","Serviço de Alunos de Pós Graduação FFLCH -Fornecimento de papel A4 120grs","2019","36","Serviço de Alunos de Pós Graduação FFLCH","Acadêmica","Regina Celi Sant'Ana","5000","1","A4","11/11/2019","625 folhas de papel sulfite 120 grs 66x96","R$ 150.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Regina Celi Sant'Ana</p>
","Serviço de Alunos de Pós Graduação FFLCH"
